date;maximum_temperature;minimum_temperature;average_temperature;atmospheric_pressure;wind_speed;precipitation;effective_temperature
24.10.1957;-2.2;-2.8;-2.7;;4;;
25.10.1957;-5;-7.8;-6;;2;1;-9.5
26.10.1957;-7.8;-13.9;-11.4;;6;0;-18
27.10.1957;-5;-12.8;-10;;10;;-19.1
28.10.1957;-8.9;-16.1;-13.1;;3;;-17.9
29.10.1957;-16.1;-20;-18.5;;4;1;
31.10.1957;-18.9;-21.1;-19.4;;8;0;-27.9
02.11.1957;-13.9;-18.9;-17.1;;3;1;-22.2
03.11.1957;-17.2;-20;-18.3;;3;;-23.4
04.11.1957;-15;-20;-16.8;;6;1;-23.8
05.11.1957;-15;-17.2;-16.1;;6;;-23.1
06.11.1957;-13.9;-17.2;-15.8;;4;;-21.5
07.11.1957;-16.1;-20;-17.6;;6;;-24.7
08.11.1957;-17.2;-17.8;-17.3;;2;1;
09.11.1957;-16.1;-18.9;-17.8;;3;;-22.9
11.11.1957;-20;-28.9;-26.1;;3;;-31.7
12.11.1957;-21.1;-30;-23.8;;2;1;-28.6
13.11.1957;-22.2;-23.9;-22.6;;5;0;-29.3
14.11.1957;-23.9;-26.1;-25;;2;0;-29.9
15.11.1957;-27.8;-31.1;-29.4;;0;0;-33.2
16.11.1957;-30;-32.8;-30.7;;2;0;-35.9
19.11.1957;-26.1;-27.8;-27.2;;9;0;-36.7
20.11.1957;-18.9;-30;-24.3;;5;1;-31.1
21.11.1957;-21.1;-27.8;-23.2;;5;0;-29.9
22.11.1957;-26.1;-36.1;-31.3;;4;0;-37.8
23.11.1957;-27.8;-32.2;-29.7;;8;0;-38.7
24.11.1957;-26.1;-31.1;-27.2;;13;0;-39.3
25.11.1957;-22.2;-26.1;-24.3;;7;0;
26.11.1957;-22.8;-25;-23.6;;6;;-31
27.11.1957;-20;-23.9;-21.5;;6;;-28.8
28.11.1957;-20;-27.2;-23.1;;2;1;-27.8
29.11.1957;-10;-22.2;-15;;3;1;-19.9
01.12.1957;-22.8;-26.1;-24.4;;3;;-29.9
02.12.1957;-23.9;-27.2;-26.1;;3;0;-31.7
03.12.1957;-27.2;-32.2;-29.3;;0;0;-33.1
05.12.1957;-32.8;-37.8;-35;;5;0;-42.3
06.12.1957;-27.8;-35;-30;;10;0;-40.3
07.12.1957;-23.9;-28.9;-25;;;1;
08.12.1957;-22.2;-28.9;-25.8;;4;;
09.12.1957;-17.8;-25;-20.2;;5;0;-26.8
11.12.1957;-17.8;-31.1;-21.1;;13;;-32.9
12.12.1957;-15;-17.2;-16.4;;6;;-23.4
13.12.1957;-2.8;-17.8;-10.8;;12;0;-21.4
14.12.1957;-10;-22.2;-18.1;;6;0;-25.2
15.12.1957;-17.8;-23.9;-21;;5;;-27.6
16.12.1957;-18.9;-27.2;-21.5;;5;;-28.1
17.12.1957;-21.1;-27.8;-25.3;;8;0;
18.12.1957;-25;-31.1;-28.2;;7;0;-36.5
19.12.1957;-27.2;-28.9;-27.6;;5;0;-34.5
20.12.1957;-26.1;-32.8;-30.8;;;0;
21.12.1957;-18.9;-28.9;-23.2;;5;;-29.9
22.12.1957;-21.1;-25;-22.6;;7;1;-30.6
23.12.1957;-22.8;-28.9;-27.1;;3;0;-32.7
24.12.1957;-18.9;-30;-24.7;;1;;-28.9
26.12.1957;-21.1;-27.8;-25.2;;0;0;-28.8
27.12.1957;-27.8;-35;-31.9;;3;;-37.8
28.12.1957;-36.1;-37.8;-37.2;;2;1;-42.7
29.12.1957;-36.1;-40;-37.9;;3;0;-44
30.12.1957;-28.9;-41.1;-34.7;;5;0;-42
31.12.1957;-26.1;-28.9;-26.8;;8;;-35.7
01.01.1958;-23.9;-27.8;-25.8;;3;0;-31.4
02.01.1958;-26.1;-33.9;-31.5;;;;
03.01.1958;-28.9;-33.9;-31.5;;1;0;-36
05.01.1958;-12.2;-15;-13.8;;15;;-26.5
07.01.1958;-16.1;-23.9;-18.8;;6;1;-25.9
08.01.1958;-15;-22.2;-18.3;;6;;
09.01.1958;-21.1;-27.2;-23.3;;3;0;-28.7
10.01.1958;-22.2;-26.1;-23.3;;2;0;-28.1
11.01.1958;-21.1;-27.8;-24.6;;6;0;-32.1
12.01.1958;-20;-27.2;-22.3;;3;0;-27.7
13.01.1958;-17.2;-22.2;-19.7;;4;;-25.6
14.01.1958;-12.2;-13.9;-12.9;;6;1;-19.6
16.01.1958;-27.2;-32.2;-29;;9;0;-38.6
17.01.1958;-23.9;-27.2;-26.4;;13;0;-38.5
18.01.1958;-17.2;-27.8;-21.4;;15;1;-34.5
19.01.1958;-17.2;-21.1;-19.3;;20;4;-35.6
21.01.1958;-15;-17.8;-16.3;;3;;-21.3
22.01.1958;-8.9;-23.9;-17.7;;2;1;-22.2
23.01.1958;-17.2;-22.8;-20;;2;0;-24.6
24.01.1958;-12.8;-23.9;-17.7;;6;;-24.8
25.01.1958;-16.1;-25;-20.7;;5;0;-27.3
27.01.1958;-10;-13.9;-12.5;;2;1;-16.6
28.01.1958;-13.9;-22.8;-17.1;;7;;-24.8
30.01.1958;-8.9;-17.2;-12.8;;8;;-20.8
31.01.1958;-6.1;-21.1;-13.2;;8;;-21.3
01.02.1958;-23.9;-32.2;-28.8;;4;0;-35.2
02.02.1958;-27.2;-32.2;-29.4;;3;;-35.2
03.02.1958;-27.8;-32.8;-30.2;;3;;-36
04.02.1958;-27.8;-33.9;-31.9;;5;;-39.1
06.02.1958;-30;-37.2;-34.2;;2;1;-39.5
07.02.1958;-27.8;-30;-28.6;;8;;-37.6
08.02.1958;-25;-27.8;-26.5;;9;0;-36
09.02.1958;-26.1;-31.1;-28.8;;7;0;-37.1
10.02.1958;-27.2;-30;-28.5;;9;0;-38.1
12.02.1958;-27.2;-33.9;-30.8;;2;;-36
13.02.1958;-18.9;-23.9;-21.3;;1;;-25.3
15.02.1958;-23.9;-26.1;-25.3;;6;0;
16.02.1958;-26.1;-31.1;-29;;8;0;-38
17.02.1958;-23.9;-30;-26;;10;0;-36.1
18.02.1958;-27.2;-28.9;-27.7;;8;1;-36.6
19.02.1958;-27.8;-30;-28.3;;8;0;-37.2
20.02.1958;-27.8;-32.8;-30.2;;5;1;-37.3
21.02.1958;-27.8;-31.1;-29.7;;5;0;-36.8
23.02.1958;-37.2;-40;-39;;4;0;-45.8
24.02.1958;-22.8;-25;-24.2;;10;;-34.3
25.02.1958;-23.9;-27.8;-25.4;;4;0;-31.6
26.02.1958;-27.2;-30;-28.2;;3;0;-33.9
27.02.1958;-25;-27.8;-26.9;;5;0;-33.8
28.02.1958;-20;-28.9;-24.4;;2;;-29.3
01.03.1958;-22.8;-32.2;-29.3;;4;0;-35.7
03.03.1958;-27.2;-38.9;-31.9;;8;;-41
04.03.1958;-25;-26.1;-25.6;;;;
05.03.1958;-27.2;-37.2;-33.6;;5;0;-40.8
06.03.1958;-30;-33.9;-31.7;;2;;-36.9
08.03.1958;-31.1;-35;-32.9;;2;0;-38.2
09.03.1958;-31.1;-37.2;-34.2;;4;1;
10.03.1958;-32.2;-35;-33.1;;1;;-37.7
11.03.1958;-27.2;-32.8;-30.7;;1;0;-35.2
12.03.1958;-26.1;-32.2;-29.3;;;0;
13.03.1958;-30;-33.9;-31.9;;4;0;-38.4
14.03.1958;-30;-33.9;-31.7;;3;0;-37.6
15.03.1958;-30;-33.9;-32.7;;3;0;
16.03.1958;-27.8;-33.9;-30.8;;5;0;-37.9
18.03.1958;-28.9;-36.1;-32.2;;1;0;-36.8
20.03.1958;-20;-32.8;-22.8;;9;0;-32.1
21.03.1958;-13.9;-22.2;-17.3;;8;2;-25.7
22.03.1958;-21.1;-27.8;-23.5;;0;;-27
23.03.1958;-27.2;-32.2;-28.5;;2;7;-33.6
24.03.1958;-18.9;-30;-24.4;;8;;-33.2
25.03.1958;-17.8;-25;-20.8;;;0;
26.03.1958;-20;-27.2;-23.9;;3;;
27.03.1958;-16.1;-32.2;-21.7;;10;0;-31.6
28.03.1958;-18.9;-21.1;-19.7;;;;
29.03.1958;-17.8;-23.9;-21.4;;8;1;
31.03.1958;-23.9;-32.2;-26.8;;6;;-34.4
02.04.1958;-21.1;-27.2;-24.6;;5;0;-31.4
04.04.1958;-26.1;-30;-27.5;;5;0;-34.5
05.04.1958;-22.2;-27.8;-24.2;;;0;
06.04.1958;-20;-30;-24.6;;3;0;
07.04.1958;-21.1;-27.8;-24.7;;3;0;-30.2
08.04.1958;-13.9;-32.8;-22.2;;;0;
09.04.1958;-7.8;-16.1;-13.8;;11;4;-23.9
10.04.1958;-7.8;-16.1;-14;;8;0;-22.2
11.04.1958;-10;-20;-13.8;;;;
12.04.1958;-13.9;-23.9;-17.8;;10;1;-27.5
13.04.1958;-18.9;-23.9;-21;;10;0;-30.9
14.04.1958;-18.9;-27.8;-22.7;;3;1;-28.1
16.04.1958;-20;-27.8;-24.2;;5;;-31
20.04.1958;-16.1;-25;-19;;5;0;-25.5
21.04.1958;-13.9;-22.8;-17.9;;6;;-25
22.04.1958;-17.8;-22.8;-20.2;;8;0;
23.04.1958;-13.9;-23.9;-18.2;;2;0;-22.7
24.04.1958;-6.1;-17.8;-10.7;;;;
25.04.1958;-7.2;-12.2;-8.4;;4;0;-13.5
26.04.1958;-5;-18.9;-11.9;;7;0;-19.2
27.04.1958;-13.9;-22.2;-18.2;;5;0;-24.6
29.04.1958;-16.1;-25;-19.6;;3;0;-24.8
30.04.1958;-12.2;-15;-13.1;;4;0;-18.6
01.05.1958;-13.9;-22.2;-16.9;;4;0;-22.7
02.05.1958;-12.2;-26.1;-20;;3;0;
03.05.1958;-10;-22.8;-15;;7;0;-22.6
04.05.1958;-8.9;-18.9;-13.2;;5;0;-19.3
05.05.1958;-6.1;-13.9;-9.2;;6;0;-15.6
06.05.1958;-8.9;-11.1;-9.7;;8;;-17.5
07.05.1958;-10;-17.2;-12.9;;5;;-19
08.05.1958;-7.8;-12.2;-10.3;;;;
09.05.1958;-10;-11.1;-10.6;;7;;-17.8
10.05.1958;-11.1;-12.2;-11.7;;5;;-17.7
11.05.1958;-8.9;-12.8;-11.4;;5;;-17.5
13.05.1958;-7.8;-11.1;-8.9;;9;;-17.3
14.05.1958;-5;-7.8;-6;;3;;
15.05.1958;-5;-8.9;-7.4;;6;;
16.05.1958;-7.8;-11.1;-8.9;;7;0;-16
17.05.1958;-8.9;-12.2;-10.8;;3;;-15.5
18.05.1958;-3.9;-7.8;-5.7;;3;;-9.9
19.05.1958;-10;-13.9;-11.5;;8;;-19.5
20.05.1958;-6.1;-15;-11.4;;12;0;-21.9
22.05.1958;-6.1;-12.2;-9.3;;9;;-17.8
23.05.1958;-7.2;-13.9;-8.9;;5;0;-14.7
24.05.1958;-5;-16.1;-10;;5;1;-15.9
25.05.1958;-5;-15;-8.9;;7;1;-15.9
26.05.1958;-5;-12.2;-7.6;;4;1;-12.6
28.05.1958;-6.1;-7.8;-7.2;;4;0;-12.2
30.05.1958;-6.1;-8.9;-7.2;;5;;
02.06.1958;-3.9;-6.1;-5.3;;7;1;-12
05.06.1958;-1.1;-6.1;-3.5;;3;1;
06.06.1958;-3.9;-5;-4.2;;;1;
07.06.1958;-3.9;-5;-4.4;;8;;-11.7
09.06.1958;-2.2;-7.2;-3.1;;9;1;-10.9
10.06.1958;0;-3.9;-1.7;;7;1;-8.1
11.06.1958;1.1;-3.9;0.8;;12;1;-8.5
12.06.1958;2.2;-2.2;0;;4;0;-4.2
15.06.1958;0;-5;-2.5;;5;0;-7.7
19.06.1958;;0;1.1;;7;0;-4.9
20.06.1958;1.1;0;0.8;;4;1;-3.2
22.06.1958;0;-2.2;-0.8;;6;0;
23.06.1958;2.2;-2.2;-0.8;;4;;-5.1
24.06.1958;0;-2.8;-1.5;;2;0;-4.6
25.06.1958;0;-2.8;-1.2;;4;0;-5.5
27.06.1958;2.2;-1.1;1.1;;5;0;-3.7
28.06.1958;7.2;2.2;4.2;;3;0;
29.06.1958;2.2;0;1.7;;3;0;-1.6
30.06.1958;1.1;-1.1;0.3;;;0;
01.07.1958;2.2;0;0.6;;7;1;-5.4
02.07.1958;1.1;0;0.6;;;;
03.07.1958;2.2;;0;;5;1;
06.07.1958;8.9;2.2;5.6;;7;;
07.07.1958;5;1.1;2.9;;11;;-5.3
08.07.1958;2.2;0;0.6;;9;0;-6.6
10.07.1958;17.8;2.8;11.1;;;0;
13.07.1958;6.1;1.1;2.9;;3;;-0.2
15.07.1958;8.9;0;4;;3;0;
17.07.1958;16.1;6.1;10;;5;0;
19.07.1958;15;1.1;8.3;;3;1;5.6
21.07.1958;2.8;2.2;2.5;;9;;-4.5
22.07.1958;10;2.2;3.8;;9;1;-3.1
23.07.1958;3.9;2.2;2.9;;10;0;-4.7
24.07.1958;2.8;2.2;2.5;;8;;-3.8
27.07.1958;7.2;2.8;5.3;;2;0;2.9
29.07.1958;7.8;2.8;4.7;;4;0;1.2
30.07.1958;2.8;1.1;2.3;;4;1;-1.5
31.07.1958;5;2.2;3.3;;8;0;-3
02.08.1958;2.8;2.2;2.3;;;;
03.08.1958;2.8;2.2;2.7;;5;;-1.8
04.08.1958;2.8;1.1;1.9;;3;;-1.4
07.08.1958;2.8;2.2;2.3;;;;
08.08.1958;2.8;2.2;2.3;;8;0;-4.1
09.08.1958;2.8;0;2.1;;6;0;-3
10.08.1958;5;2.2;3.5;;5;;-0.7
11.08.1958;5;2.8;3.3;;6;;-1.7
12.08.1958;2.8;2.2;2.7;;7;0;-3
14.08.1958;7.2;1.1;2.7;;5;1;-1.8
15.08.1958;3.9;2.2;2.8;;8;0;-3.6
16.08.1958;3.9;1.1;2.5;;5;;-2
17.08.1958;3.9;2.2;3.2;;9;1;-3.9
21.08.1958;3.9;0;2.8;;6;6;-2.3
23.08.1958;2.2;0;1.4;;7;;-4.5
24.08.1958;1.1;0;0.3;;10;;-7.8
25.08.1958;;;0;;;;
27.08.1958;2.2;0;1.4;;13;1;-8.4
28.08.1958;2.2;0;1.1;;6;0;-4.2
29.08.1958;5;-1.1;1.8;;5;0;
30.08.1958;1.1;-1.1;0;;5;0;
01.09.1958;2.2;0;1.4;;8;;
02.09.1958;2.2;-2.2;0.8;;4;;-3.2
03.09.1958;2.2;0;1.7;;7;;-4.1
05.09.1958;1.1;-1.1;0.8;;4;0;-3.2
07.09.1958;0;-1.1;-0.3;;5;;-5.1
09.09.1958;2.2;-2.2;-0.8;;12;3;-10.2
10.09.1958;-2.2;-3.9;-2.6;;14;0;
11.09.1958;0;-2.8;-1.5;;5;0;-6.5
12.09.1958;-1.1;-2.8;-2.4;;10;1;-10.8
13.09.1958;-2.2;-3.9;-2.8;;;2;
15.09.1958;-3.9;-7.2;-5.6;;8;1;-13
16.09.1958;-2.8;-5;-4.2;;6;;-10.2
17.09.1958;-3.9;-6.1;-5;;9;1;-13
21.09.1958;-2.2;-3.9;-2.9;;7;;-9.3
22.09.1958;-2.8;-3.9;-3.6;;4;0;-8.2
23.09.1958;-2.2;-3.9;-3.2;;4;;-7.7
24.09.1958;-2.8;-3.9;-3.3;;3;;
25.09.1958;-1.1;-2.8;-1.5;;9;;-9
26.09.1958;-2.2;-7.8;-6.3;;3;;-10.5
27.09.1958;-7.8;-11.1;-9.4;;3;0;-13.9
29.09.1958;-2.2;-3.9;-2.8;;10;;-11.1
01.10.1958;0;-1.1;-0.8;;9;;
02.10.1958;-1.1;-2.8;-1.8;;7;;-8.1
03.10.1958;;;-5;;4;;-9.7
04.10.1958;-2.8;-5;-4.4;;7;1;
05.10.1958;-2.8;-7.2;-4.7;;6;;-10.7
09.10.1958;-12.8;-13.9;-13.6;;5;0;-19.7
10.10.1958;-7.2;-11.1;-8.8;;10;0;-17.8
11.10.1958;-3.9;-10;-7.5;;13;0;-18.4
12.10.1958;-2.2;-5;-3.5;;13;;-13.9
13.10.1958;-2.2;-5;-3.5;;11;2;-12.6
14.10.1958;;;-5;;11;0;-14.3
17.10.1958;-3.9;-7.2;-4.7;;4;0;-9.4
18.10.1958;-3.9;-7.8;-5.4;;9;;-13.4
19.10.1958;-7.2;-10;-8.3;;13;;-19.2
21.10.1958;-8.9;-18.9;-12.2;;3;;-17
22.10.1958;-3.9;-10;-7.2;;9;;-15.4
23.10.1958;-3.9;-6.1;-5;;3;;-9
24.10.1958;-8.9;-16.1;-14;;13;;-25.3
25.10.1958;-16.1;-17.8;-16.4;;9;0;-25.3
26.10.1958;;;-16.1;;10;0;-25.7
27.10.1958;-12.2;-16.1;-13.9;;11;0;-24
28.10.1958;-17.2;-17.8;-17.5;;8;0;-25.8
29.10.1958;-8.9;-20;-15.7;;4;0;-21.4
30.10.1958;-16.1;-22.8;-19.7;;;;
31.10.1958;-5;-17.2;-12.1;;11;;-22
01.11.1958;-2.8;-6.1;-4.2;;6;;-10.1
02.11.1958;-5;-10;-7.2;;14;0;-18.6
03.11.1958;-7.2;-13.9;-11.3;;;;
05.11.1958;-12.2;-17.8;-14.6;;5;1;-20.8
06.11.1958;-8.9;-25;-15.3;;9;;-24.1
07.11.1958;-17.8;-23.9;-20.2;;8;0;-28.7
08.11.1958;-11.1;-20;-16;;9;1;-24.9
09.11.1958;-7.8;-20;-13.8;;5;1;-19.9
10.11.1958;-8.9;-26.1;-19.4;;5;;
11.11.1958;-5;-13.9;-9.2;;7;;-16.2
12.11.1958;-10;-20;-16.3;;6;1;-23.3
13.11.1958;-1.1;-10;-4.7;;6;;-10.7
14.11.1958;-7.8;-11.1;-8.9;;3;;-13.3
15.11.1958;-2.8;-6.1;-4.2;;4;0;-8.8
16.11.1958;-2.2;-3.9;-3.2;;6;;-9
17.11.1958;0;-2.8;-2.1;;11;1;-11
18.11.1958;-3.9;-5;-4.7;;1;1;-7.4
19.11.1958;-6.1;-7.8;-7.2;;3;1;-11.5
20.11.1958;-7.8;-13.9;-10.2;;3;0;-14.8
21.11.1958;-17.2;-21.1;-19.6;;4;;-25.5
22.11.1958;-23.9;-27.8;-25.6;;1;0;-29.8
23.11.1958;-22.2;-32.8;-27.2;;2;0;-32.2
24.11.1958;-23.9;-33.9;-27.5;;3;0;-33.1
25.11.1958;-27.2;-32.2;-29.6;;3;0;-35.3
26.11.1958;-20;-31.1;-23.8;;0;;
27.11.1958;-21.1;-26.1;-22.5;;3;1;-27.9
28.11.1958;-22.8;-32.8;-26.1;;2;;-31.1
29.11.1958;-28.9;-36.1;-32.2;;;0;
30.11.1958;-31.1;-33.9;-32.5;;6;0;-40.3
01.12.1958;-31.1;-32.8;-32.1;;3;0;-38
03.12.1958;-30;-37.2;-34.3;;3;0;-40.3
05.12.1958;-26.1;-33.9;-29.6;;4;0;-36
07.12.1958;-41.1;-42.8;-41.8;;4;0;-48.7
08.12.1958;-30;-38.9;-34.4;;2;0;-39.7
09.12.1958;-27.8;-37.8;-32.7;;7;;-41.2
10.12.1958;-32.2;-40;-37.1;;;0;
11.12.1958;-27.2;-32.8;-31;;5;0;-38.1
12.12.1958;-23.9;-27.2;-26.1;;10;0;-36.2
13.12.1958;-23.9;-27.2;-25.3;;6;;
14.12.1958;-20;-27.2;-24;;2;;
15.12.1958;-6.1;-18.9;-10.8;;4;;-16
17.12.1958;-31.1;-32.8;-31.5;;2;0;-36.7
18.12.1958;-31.1;-32.2;-31.7;;1;0;-36.2
19.12.1958;-30;-31.1;-30.6;;2;0;-35.7
21.12.1958;-27.8;-32.2;-29.7;;2;0;-34.8
22.12.1958;-30;-33.9;-32.7;;;0;
23.12.1958;-30;-32.8;-31.5;;5;0;
24.12.1958;-30;-32.2;-31.1;;3;0;-36.9
26.12.1958;-26.1;-33.9;-30.4;;5;;-37.5
27.12.1958;-37.2;-38.9;-37.9;;4;0;-44.7
28.12.1958;-21.1;-37.8;-28.8;;7;0;-37.1
29.12.1958;-20;-28.9;-24;;15;0;-37.3
30.12.1958;-27.8;-28.9;-28.6;;5;0;-35.6
01.01.1959;-18.9;-22.2;-20;;3;0;-25.2
02.01.1959;-20;-22.8;-21.3;;8;;-29.9
04.01.1959;-32.8;-36.1;-33.9;;4;0;-40.5
05.01.1959;-37.2;-41.1;-39;;2;0;-44.5
06.01.1959;-20;-37.2;-28.6;;7;0;-36.9
08.01.1959;-11.1;-17.2;-13.3;;1;0;-16.8
09.01.1959;-20;-28.9;-23.5;;5;0;-30.2
11.01.1959;-26.1;-31.1;-28.8;;0;0;-32.6
13.01.1959;-3.9;-17.8;-11.9;;10;0;-21.1
15.01.1959;-15;-16.1;-15.3;;2;;-19.6
16.01.1959;-10;-12.2;-11.1;;6;;-17.7
19.01.1959;-13.9;-22.8;-18.8;;15;0;-31.7
22.01.1959;-26.1;-28.9;-27.3;;2;;-32.3
23.01.1959;-27.8;-33.9;-31.7;;2;0;-36.9
24.01.1959;-33.9;-35;-34.2;;1;0;-38.9
27.01.1959;-22.2;-30;-25.6;;14;0;-38.3
28.01.1959;-27.2;-30;-28.1;;2;0;-33.1
29.01.1959;-23.9;-31.1;-27.8;;7;0;-36
30.01.1959;-31.1;-37.8;-34.7;;0;0;-38.7
31.01.1959;-32.8;-40;-35.7;;1;0;-40.4
01.02.1959;;;-35;;0;0;-39
02.02.1959;-33.9;-37.8;-35.7;;1;0;-40.4
04.02.1959;-36.1;-42.8;-40.3;;3;0;-46.5
05.02.1959;-23.9;-42.8;-33.5;;5;0;-40.7
06.02.1959;-22.2;-33.9;-29.8;;6;0;-37.5
08.02.1959;-22.8;-32.2;-26.5;;6;1;-34
09.02.1959;-8.9;-26.1;-16.3;;15;0;-29.1
10.02.1959;-10;-16.1;-12;;12;0;-22.6
11.02.1959;-8.9;-28.9;-21.4;;16;0;-35.2
12.02.1959;-6.1;-21.1;-11.8;;12;7;-22.3
14.02.1959;-20;-33.9;-28.6;;2;0;-33.7
17.02.1959;-1.1;-6.1;-3.6;;12;0;-13.3
19.02.1959;-12.8;-32.8;-21.4;;9;0;-30.6
20.02.1959;-12.2;-17.8;-14;;15;0;-26.6
21.02.1959;-22.2;-25;-23.6;;10;0;-33.6
24.02.1959;-13.9;-23.9;-19.7;;6;0;-26.9
25.02.1959;-22.8;-30;-25.7;;7;0;-33.8
27.02.1959;-15;-22.8;-17.5;;5;0;-23.9
28.02.1959;-12.2;-22.8;-18.8;;9;0;
02.03.1959;-17.8;-25;-21.9;;4;0;-27.9
05.03.1959;-2.2;-22.8;-11.3;;14;0;-23.1
08.03.1959;-11.1;-20;-14.4;;8;0;-22.6
09.03.1959;-7.8;-12.2;-9.8;;6;0;-16.3
10.03.1959;-7.8;-11.1;-9.3;;2;0;-13.1
12.03.1959;-27.2;-31.1;-28.3;;6;0;-35.9
13.03.1959;-16.1;-33.9;-25.7;;7;0;-33.9
15.03.1959;-7.2;-12.8;-9;;5;0;-14.7
16.03.1959;-12.2;-17.8;-16;;3;0;-21
17.03.1959;-2.2;-3.9;-2.8;;8;;-9.8
18.03.1959;-3.9;-11.1;-6.7;;6;0;-12.9
20.03.1959;-23.9;-30;-27.1;;18;0;-42.5
22.03.1959;-31.1;-36.1;-34.6;;4;0;-41.2
24.03.1959;-27.2;-32.8;-30.8;;6;0;-38.6
28.03.1959;-16.1;-22.8;-19.2;;5;0;-25.7
29.03.1959;-18.9;-22.2;-20.3;;7;0;-28.2
30.03.1959;-20;-26.1;-23.1;;9;0;-32.4
01.04.1959;-22.2;-31.1;-27.1;;3;0;-32.7
02.04.1959;-22.2;-30;-25.6;;3;0;-31.1
04.04.1959;-23.9;-27.8;-26.2;;3;0;-31.8
05.04.1959;-17.8;-26.1;-22.3;;6;0;-29.6
06.04.1959;-18.9;-27.8;-23.9;;7;0;-32
07.04.1959;-20;-27.2;-24.3;;5;0;-31.1
08.04.1959;-17.8;-27.2;-21.3;;4;0;-27.2
12.04.1959;-22.2;-33.9;-26.4;;4;0;-32.6
13.04.1959;-18.9;-32.8;-22.5;;2;0;-27.2
16.04.1959;-17.8;-25;-21.7;;1;0;-25.7
17.04.1959;-16.1;-30;-22.1;;5;0;-28.8
18.04.1959;-16.1;-25;-20.3;;2;0;-24.9
20.04.1959;-16.1;-22.2;-18.6;;8;0;-27
21.04.1959;-17.8;-22.8;-19.7;;4;0;-25.6
22.04.1959;-16.1;-21.1;-19.4;;5;;-25.9
28.04.1959;-13.9;-16.1;-15;;3;0;-19.9
29.04.1959;-12.8;-16.1;-14.6;;7;0;-22.1
30.04.1959;-1.1;-13.9;-7.5;;10;0;-16.3
01.05.1959;-12.2;-17.8;-15.4;;3;0;-20.3
02.05.1959;-2.8;-12.2;-7.5;;6;0;-13.7
03.05.1959;-13.9;-17.8;-16.2;;8;0;-24.5
04.05.1959;-12.2;-22.2;-16.4;;3;0;-21.4
06.05.1959;0;-2.2;-0.9;;2;0;-3.8
07.05.1959;0;-3.9;-1.8;;5;0;-6.8
08.05.1959;-6.1;-10;-7.3;;13;0;-18.1
09.05.1959;-5;-12.2;-8.9;;13;0;-19.9
10.05.1959;-6.1;-13.9;-8.9;;6;0;-15.3
13.05.1959;-2.2;-3.9;-2.8;;10;0;-11.2
14.05.1959;-2.2;-8.9;-5;;10;0;-13.6
17.05.1959;-7.2;-8.9;-7.9;;10;0;-16.8
18.05.1959;-5;-7.8;-6;;7;0;-12.8
19.05.1959;-7.2;-10;-8.1;;6;;-14.4
25.05.1959;-5;-7.2;-6.1;;9;0;-14.2
27.05.1959;-1.1;-6.1;-3.2;;6;0;-9.1
29.05.1959;1.1;0;0.3;;16;0;-11.6
31.05.1959;0;-2.8;-1.5;;5;0;-6.4
05.06.1959;0;-2.2;-0.6;;9;0;-8.1
06.06.1959;;;0;;6;0;-5.4
07.06.1959;0;-2.2;-1.1;;5;0;-6.1
08.06.1959;-1.1;-2.2;-2;;6;0;-7.8
11.06.1959;1.1;-2.2;-0.6;;3;0;-4.3
12.06.1959;1.1;-1.1;0;;5;0;-4.7
14.06.1959;1.1;0;0.8;;4;0;-3.4
15.06.1959;2.8;2.2;2.5;;6;0;-2.6
16.06.1959;1.1;0;0.8;;3;0;-2.5
17.06.1959;2.8;-1.1;0.8;;3;0;-2.6
24.06.1959;1.1;0;0.6;;9;0;-6.6
25.06.1959;2.8;-1.1;0.8;;5;0;-3.8
26.06.1959;1.1;0;0.8;;6;0;-4.5
29.06.1959;2.8;-2.2;1;;3;0;-2.5
01.07.1959;1.1;-1.1;0.6;;10;0;-7.4
02.07.1959;1.1;0;0.9;;7;0;-5.1
03.07.1959;8.9;0;5;;7;0;-0.4
04.07.1959;5;1.1;2.8;;8;0;-3.6
06.07.1959;3.9;0;1.8;;2;0;-0.9
19.07.1959;16.1;8.9;12.5;;6;0;8.5
20.07.1959;11.1;7.2;9.3;;3;0;7
26.07.1959;7.2;3.9;6.7;;2;0;4.3
28.07.1959;6.1;5;5.3;;7;0;-0.1
29.07.1959;7.2;5;6.1;;5;0;2
30.07.1959;15;5;9.2;;4;0;6
31.07.1959;16.1;7.8;12.5;;13;0;3.8
01.08.1959;7.2;6.1;6.6;;10;0;-0.7
03.08.1959;10;5;6.7;;4;0;3.4
04.08.1959;7.8;3.9;5.7;;1;0;4.2
08.08.1959;20;10;15.7;;5;0;13.3
09.08.1959;12.2;2.8;8.8;;3;0;6.7
10.08.1959;17.8;7.8;14.2;;6;0;11
11.08.1959;11.1;6.1;7.9;;6;0;3.6
12.08.1959;8.9;7.8;8.4;;6;0;4.1
13.08.1959;;7.2;7.8;;7;0;2.9
14.08.1959;8.9;6.1;7.8;;3;0;5.3
15.08.1959;8.9;5;7.7;;12;0;-0.6
16.08.1959;6.1;5;5.6;;12;0;-3.1
20.08.1959;6.1;3.9;5;;9;0;-1.7
21.08.1959;3.9;2.8;3.6;;7;0;-2
23.08.1959;11.1;3.9;7.8;;5;0;3.8
24.08.1959;12.2;7.2;9.4;;5;0;6.1
26.08.1959;10;7.2;8.8;;5;0;5.5
